code_module_x,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_assessment,number_of_assessments_taken,code_module_y,date_registration,date_unregistration,total_click_count,total_click_sum,total_click_average
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,36,1,AAA,-192,65,100,303,3.03
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,86.875,8,AAA,-196,160,1375,3928,2.8567272727272726
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,68.2,5,AAA,-110,,396,1316,3.323232323232323
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,49.8,5,AAA,-57,,125,333,2.664
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,64.2,5,AAA,48,,113,201,1.7787610619469028
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,82.33333333333333,6,AAA,-71,51,920,3178,3.4543478260869565
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,77.2,5,AAA,-81,,447,1950,4.3624161073825505
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,60.4,5,AAA,-60,,323,838,2.5944272445820435
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,78.4,5,AAA,-49,,1217,3644,2.9942481511914543
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10月20日,0-35,0,60,N,Fail,49.2,5,AAA,-12,,53,65,1.2264150943396226
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,78,5,AAA,-37,,213,547,2.568075117370892
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,80.4,5,AAA,-18,,737,2219,3.010854816824966
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,82.4,5,AAA,-75,,272,569,2.0919117647058822
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,,,AAA,-44,,40,164,4.1
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,73.8,5,AAA,-49,,316,761,2.4082278481012658
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,,,AAA,-32,5,46,198,4.304347826086956
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10月20日,0-35,0,60,N,Fail,57,3,AAA,-38,,88,166,1.8863636363636365
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,69,4,AAA,-129,,242,821,3.3925619834710745
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,56.4,5,AAA,-38,,403,891,2.2109181141439205
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10月20日,35-55,0,60,N,Pass,70,5,AAA,-52,,755,2129,2.8198675496688743
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,76.8,5,AAA,-4,,488,1465,3.002049180327869
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,50.4,5,AAA,-123,,169,437,2.5857988165680474
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,55.6,5,AAA,-60,,124,292,2.3548387096774195
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,66.4,5,AAA,-19,,225,677,3.008888888888889
AAA,2013J,376439,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,87,5,AAA,-87,,761,2342,3.0775295663600524
AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,72.8,5,AAA,-64,,627,2333,3.7208931419457736
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,67.8,5,AAA,-155,,374,1062,2.839572192513369
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,75.6,5,AAA,-61,,272,543,1.9963235294117647
AAA,2013J,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,67.8,5,AAA,-192,,96,164,1.7083333333333333
